"simCAlpha","fitAlpha","simBeta","fitBeta","BIC"
NA,NA,NA,NA,NA
0.666666666666667,0.621557332466665,7,8.19230771338832,34.8312343036535
0.666666666666667,1,8,10,11.9271613030137
0.666666666666667,0.6012165243482,9,10,25.5030586017122
0.666666666666667,1,10,10,11.9271613030137
0.777777777777778,0.93936793325357,1,0.769070834475394,263.518996839992
0.777777777777778,0.953645511491473,2,1.83503592499675,203.516566089464
0.777777777777778,0.899271287926451,3,3.44057110245192,97.14194129769
0.777777777777778,0.8862232661294,4,3.36618325556897,103.440097791989
0.777777777777778,0.889079939978109,5,4.14416775518325,69.4140353537763
0.777777777777778,1,6,4.93806476945,35.6962492152053
0.777777777777778,1,7,10,11.9271613030137
0.777777777777778,1,8,10,11.9271613030137
0.777777777777778,1,9,10,11.9271613030137
0.777777777777778,1,10,10,11.9271613030137
0.888888888888889,0,1,0,275.297213717955
0.888888888888889,0,2,2.21503976395684,275.297213717955
0.888888888888889,0.758089852036675,3,3.60913857015726,100.263057857903
0.888888888888889,0.812032415061918,4,3.91232912563763,88.6703111195366
0.888888888888889,0.978225173272162,5,4.58312143431779,45.1047746794281
0.888888888888889,1,6,10,11.9271613030137
0.888888888888889,1,7,5.64190787054279,25.1957000198543
0.888888888888889,1,8,10,11.9271613030137
0.888888888888889,1,9,10,11.9271613030137
0.888888888888889,1,10,10,11.9271613030137
1,0,1,0,275.297213717955
1,0.967036794252107,2,2.28707613863345,167.536459647491
1,0.974881483921238,3,2.66408177964852,138.477802648069
1,0.784462481357033,4,4.74054185427231,59.8095950260721
1,1,5,5.64190723512384,25.1957000198537
1,1,6,10,11.9271613030137
1,1,7,10,11.9271613030137
1,1,8,10,11.9271613030137
