"simC","fitC","simGamma","fitGamma","BIC"
NA,NA,NA,NA,NA
0.9,0.1,0.455555555555556,0.493450532343859,143.588754287464
1,0.456025587400665,0.5,0.194145910690303,142.963420070473
0.1,0.10100534802301,0.1,0.1,92.2919638130158
0.2,0.228396482493152,0.144444444444444,0.10333707682896,110.238275581371
0.3,0.334442118965931,0.188888888888889,0.125200066023752,125.1465493075
0.4,0.744976052548736,0.233333333333333,0.5,143.599249411565
0.5,0.529866221922541,0.277777777777778,0.1,141.902523806647
0.6,0.1,0.322222222222222,0.5,143.599249411565
0.7,0.1,0.366666666666667,0.5,143.599249411565
0.8,1,0.411111111111111,0.378947711327603,137.975112559611
0.9,0.31307405186817,0.455555555555556,0.5,143.599249411565
1,0.302014222718925,0.5,0.360776078452354,142.158573413027
0.1,0.1,0.1,0.1,89.7999074433857
0.2,0.868609024444595,0.144444444444444,0.5,143.599249411565
0.3,0.910392547957599,0.188888888888889,0.5,143.599249411565
0.4,0.452297345588463,0.233333333333333,0.105712779105097,140.243108605374
0.5,0.473855906516409,0.277777777777778,0.1,142.73616037426
0.6,0.375693096313626,0.322222222222222,0.5,143.599249411565
0.7,0.1,0.366666666666667,0.434777885424412,142.438732387825
0.8,1,0.411111111111111,0.431579137456213,141.814708010597
0.9,1,0.455555555555556,0.473680941526918,143.335969891207
1,0.1,0.5,0.5,143.599249411565
0.1,0.913936331635341,0.1,0.5,143.599249411565
0.2,0.269355516824231,0.144444444444444,0.1,108.363542258925
0.3,0.293005301849825,0.188888888888889,0.140311749032182,129.461542672427
0.4,1,0.233333333333333,0.5,143.599249411565
0.5,0.1,0.277777777777778,0.426431188544793,142.045465843651
0.6,0.93049377434919,0.322222222222222,0.469559835352706,143.335667086142
0.7,0.265398347983137,0.366666666666667,0.5,143.599249411565
0.8,1,0.411111111111111,0.389474013619319,138.918579750264
0.9,0.580122278625712,0.455555555555556,0.195990621345512,142.124372792261
1,0.1,0.5,0.5,143.599249411565
0.1,0.701934517128393,0.1,0.5,143.599249411565
0.2,0.522448083385825,0.144444444444444,0.5,143.599249411565
0.3,0.188923764767489,0.188888888888889,0.266060166866967,135.347949614021
0.4,0.723817025078461,0.233333333333333,0.5,143.599249411565
0.5,0.1,0.277777777777778,0.493676871580501,143.589123870565
0.6,0.516349849176462,0.322222222222222,0.1,143.302071062219
0.7,0.471866417578286,0.366666666666667,0.1,142.744683359653
0.8,0.1,0.411111111111111,0.5,143.599249411565
0.9,0.427480166824915,0.455555555555556,0.168894781537401,140.824622789159
1,0.38143326016143,0.5,0.5,143.599249411565
0.1,0.193530525910859,0.1,0.116564144136872,114.34675890377
0.2,0.203180023194559,0.144444444444444,0.122393980566565,115.330453506118
0.3,0.847394694108516,0.188888888888889,0.5,143.599249411565
0.4,0.47105778333036,0.233333333333333,0.132605885028059,142.912748332731
0.5,1,0.277777777777778,0.410526564250519,140.540696748853
0.6,0.422126019839197,0.322222222222222,0.5,143.599249411565
0.7,0.1,0.366666666666667,0.5,143.599249411565
0.8,0.1,0.411111111111111,0.456512968550756,143.108858017898
0.9,1,0.455555555555556,0.473684281141433,143.335969887137
1,0.482538941727154,0.5,0.1,143.360018239272
