"simCAlpha","fitAlpha","simBeta","fitBeta","BIC"
NA,NA,NA,NA,NA
0.777777777777778,0,3,0,275.297213717955
0.777777777777778,0,4,0.465474763746934,275.297213717955
0.777777777777778,0,5,0.129630406293641,275.297213717955
0.777777777777778,0.325466115533083,6,0.181492308186217,275.278687267924
0.777777777777778,0,7,1.54617623214979,275.297213717955
0.777777777777778,0.378717811139355,8,0.51602359886912,275.002243263993
0.777777777777778,0.742178863472163,9,1.13380482991899,271.242460395133
0.777777777777778,1,10,0.693146865121318,273.132600881564
0.888888888888889,0,1,0,275.297213717955
0.888888888888889,0,2,0,275.297213717955
0.888888888888889,0.623325037561164,3,0.565365473980496,274.111809248393
0.888888888888889,0,4,0.0524912934343964,275.297213717955
0.888888888888889,0.0929934235763395,5,6.94295040727064,269.328971559047
0.888888888888889,0.964745009360513,6,0.321275660671601,274.978166821436
0.888888888888889,0.395800713661737,7,0.825245740695735,273.814458434394
0.888888888888889,0.231872049619556,8,0.993182044815481,274.520063203914
0.888888888888889,1,9,0.780158531270493,272.65141888598
0.888888888888889,0.629510440291824,10,0,275.297213717955
1,0,1,0,275.297213717955
1,0.574126220257081,2,0,275.297213717955
1,1,3,1.0986122886698,271.26966470363
1,0,4,0,275.297213717955
1,0.0749018847728771,5,4.24570456585537,271.362578606148
1,0.168257342887045,6,0,275.297213717955
1,0.123677152217586,7,7.83030914892746,266.96116201477
1,0,8,0,275.297213717955
1,1,9,0.646627233510045,273.61703226426
1,0,10,0,275.297213717955
