"","SubNum","character","response","respCat","corrCat","accuracy","cumAcc","cumAccBlock","cumAccbyChar","RT","trialNum","trialNbychar","listN","NfromChange","befAft","iCP","trialCond","image","recogAcc","confidence","association","RTrecog","corr_ans_assoc"
"3585",23,"m2",4,"Electronic device & accessory","Kitchen & utensil",0,0.51578947368421,0.347826086956522,0.363636363636364,1.1403,109,11,4,32,1,"afterCP",1,"canister.jpg",1,3,NA,4.3755,NA
"3586",23,"m5",3,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.520833333333333,0.375,0.384615384615385,1.2304,110,13,4,33,1,"afterCP",1,"flooringstapler.jpg",1,4,"left",2.4922,0
"3587",23,"m5",1,"Kitchen & utensil","Hand labour tool & accessory",0,0.515463917525773,0.36,0.357142857142857,2.5159,111,14,4,34,1,"afterCP",1,"caulking.jpg",1,4,"left",1.9582,0
"3588",23,"m2",2,"Outdoor activity & sport item","Kitchen & utensil",0,0.510204081632653,0.346153846153846,0.333333333333333,0.7971,112,12,4,35,1,"afterCP",1,"oven.jpg",1,3,"right",2.3502,0
"3589",23,"m2",3,"Kitchen & utensil","Kitchen & utensil",1,0.515151515151515,0.37037037037037,0.384615384615385,2.014,113,13,4,36,1,"afterCP",1,"bowl02a.jpg",1,4,"right",1.6404,0
"3590",23,"m2",3,"Kitchen & utensil","Kitchen & utensil",1,0.52,0.392857142857143,0.428571428571429,0.7331,114,14,4,37,1,"afterCP",1,"breadknife.jpg",1,4,"left",0.9223,1
"3591",23,"m2",4,"Kitchen & utensil","Kitchen & utensil",1,0.524752475247525,0.413793103448276,0.466666666666667,1.3329,115,15,4,38,1,"afterCP",1,"hourglass.jpg",1,4,"right",1.037,0
"3592",23,"m5",1,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.529411764705882,0.433333333333333,0.4,2.0263,116,15,4,39,1,"afterCP",1,"mallet01b.jpg",1,4,"right",1.0385,1
"3593",23,"m5",1,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.533980582524272,0.451612903225806,0.4375,0.9015,117,16,4,40,1,"afterCP",1,"pressurewasher.jpg",1,4,NA,1.1879,NA
"3594",23,"m2",1,"Kitchen & utensil","Kitchen & utensil",1,0.538461538461539,0.46875,0.5,1.8818,118,16,4,41,1,"afterCP",1,"potatomasher03b.jpg",1,4,"left",0.7881,1
"3595",23,"m2",3,"Kitchen & utensil","Kitchen & utensil",1,0.542857142857143,0.484848484848485,0.529411764705882,1.5325,119,17,4,43,1,"afterCP",1,"pot01.jpg",1,4,NA,1.1075,NA
"3596",23,"m5",4,"Electronic device & accessory","Hand labour tool & accessory",0,0.537735849056604,0.470588235294118,0.411764705882353,2.0159,120,17,4,45,1,"afterCP",1,"bucket02.jpg",1,3,"right",1.7553,1
"3597",23,"m5",3,"Outdoor activity & sport item","Hand labour tool & accessory",0,0.532710280373832,0.457142857142857,0.388888888888889,1.9329,121,18,4,46,1,"afterCP",1,"snowblower.jpg",1,4,NA,1.2076,NA
"3598",23,"m2",1,"Outdoor activity & sport item","Kitchen & utensil",0,0.527777777777778,0.444444444444444,0.5,2.0816,122,18,4,47,1,"afterCP",1,"travelmug.jpg",1,4,"left",1.426,1
