"first_character","second_character","Cue","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","trial_cond","switch_cond","cuedCharacter","obj_category","image","participant","task_resp.keys","task_resp.corr","task_resp.rt","trialNum","response","respCat","Q1","V1","Delta1","Q2","V2","Delta2","Q3","V3","Delta3","Q4","V4","Delta4","Prob","Delta","P1","P2","P3","P4"
"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png",4,0,4,"stimuli/m2.jpg","Outdoor activity & sport item","stimuli/objects/bikepump01.jpg",4,4,1,0.93439,144,4,"Outdoor activity & sport item",NA,0.0823539823099081,-0.110994791800087,NA,0.105536975306044,-0.142240293337897,NA,0.546847359578424,-0.737028217948509,NA,0.265261682805624,0.990263303086494,0.0205197454835607,NA,0.0347574534719902,0.0408952501954113,0.903827550849038,0.0205197454835607
"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png",3,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/pastaspoon.jpg",4,1,0,1.1024,145,1,"Outdoor activity & sport item",NA,0.0611035733506851,-0.0823539823099081,NA,0.0783044866920352,-0.105536975306044,NA,0.663777696883456,0.453152640421576,NA,0.196814243073823,-0.265261682805624,0.162566382050527,NA,0.0627480588439725,0.070794797320737,0.703890761784763,0.162566382050527
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png",2,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/wheelbarrow01.jpg",4,2,1,0.555285,146,2,"Hand labour tool & accessory",NA,0.00549101018827536,-0.00740065647737906,NA,0.746519011493105,0.341635811110232,NA,0.228144169068049,-0.307487432129502,NA,0.0198458092505701,-0.0267477225033507,0.811582747495977,NA,0.0274122758369657,0.811582747495977,0.130688710757696,0.0303162659093615
"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png",4,0,4,"stimuli/m2.jpg","Outdoor activity & sport item","stimuli/objects/boatmotor.jpg",4,1,0,2.09509,147,1,"Kitchen & utensil",NA,0.0453365650512489,-0.0611035733506851,NA,0.0580989991263466,-0.0783044866920352,NA,0.492498213837892,-0.663777696883456,NA,0.404066221984513,0.803185756926177,0.848228629296588,NA,0.0368362036566819,0.0402860309424965,0.848228629296588,0.0746491361042332
"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png",4,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/breadknife.jpg",4,4,1,2.59711,148,4,"Kitchen & utensil",NA,0.0336380348633585,-0.0453365650512489,NA,0.0431072834020195,-0.0580989991263466,NA,0.623452664381608,0.507501786162108,NA,0.299802017353014,-0.404066221984513,0.545570316782741,NA,0.0532256610724193,0.0568811390845637,0.545570316782741,0.344322883060276
"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png",2,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/martiniglass01b.jpg",4,2,1,1.29606,149,2,"Kitchen & utensil",NA,0.0249581631998243,-0.0336380348633585,NA,0.031983991294944,-0.0431072834020195,NA,0.720615966628304,0.376547335618392,NA,0.222441878876928,-0.299802017353014,0.780789265199282,NA,0.0362545384022579,0.038086050449918,0.780789265199282,0.144870145948542
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png",3,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/setsquare.jpg",4,3,1,0.943575,150,3,"Hand labour tool & accessory",NA,0.00407412409695063,-0.00549101018827536,NA,0.811926591285535,0.253480988506895,NA,0.169274436744554,-0.228144169068049,NA,0.0147248478729609,-0.0198458092505701,0.899880966704145,NA,0.019020528537736,0.899880966704145,0.0606025072113395,0.0204959975467793
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png",2,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/pressurewasher.jpg",4,2,1,0.551965,151,2,"Hand labour tool & accessory",NA,0.00302284763426511,-0.00407412409695063,NA,0.860456568069142,0.188073408714465,NA,0.125595298149563,-0.169274436744554,NA,0.0109252861470294,-0.0147248478729609,0.938107707993308,NA,0.0140037824489966,0.938107707993308,0.0330865426451491,0.014801966912546
"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png",1,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/saladspinner.jpg",4,1,1,1.18408,152,1,"Kitchen & utensil",NA,0.018518023209126,-0.0249581631998243,NA,0.0237309247631022,-0.031983991294944,NA,0.7927075012366,0.279384033371696,NA,0.165043550791172,-0.222441878876928,0.885472480858539,NA,0.0237008474943293,0.0245835453359246,0.885472480858539,0.0662431263112074
"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png",3,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/thermos.jpg",4,3,1,1.05843,153,3,"Kitchen & utensil",NA,0.0137396803133391,-0.018518023209126,NA,0.0176074582099152,-0.0237309247631022,NA,0.846196722393201,0.2072924987634,NA,0.122456139083545,-0.165043550791172,0.93093197969489,NA,0.0165576928629894,0.0170130689698577,0.93093197969489,0.0354972584722631
