myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,first_character,second_character,Cue,left_categ,centleft_categ,centright_categ,right_categ,corr_ans,trial_cond,switch_cond,cuedCharacter,corrCat,image,rep_resp.keys,rep_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,obj_category,task_resp.rt,rep_resp_2.keys,rep_resp_2.rt,repeat_task2.thisRepN,repeat_task2.thisTrialN,repeat_task2.thisN,repeat_task2.thisIndex,repeat_task2.ran
0,"[0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0]",,,,,,,,,,,,,6,2021-04-12_17h16.34.728,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,0,0.461,0,0,23,23,23,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,4,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/papertray.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0]",,,,,,,,,,,,,6,2021-04-12_17h16.34.728,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,2,0,1.498,0,0,24,24,24,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Stationary & school supply.png,1,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/shirt02.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0]",,,,,,,,,,,,,6,2021-04-12_17h16.34.728,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,0,2.326,0,0,25,25,25,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Vehicle.png,stimuli/Stationary & school supply.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/pen04b.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0]",,,,,,,,,,,,,6,2021-04-12_17h16.34.728,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,0,2.205,0,0,26,26,26,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Stationary & school supply.png,4,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/divider02.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0]",,,,,,,,,,,,,6,2021-04-12_17h16.34.728,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,0,2.306,0,0,27,27,27,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,4,0,0,stimuli/m4.jpg,Stationary & school supply,stimuli/objects/expandablefolder03a.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0]",,,,,,,,,,,,,6,2021-04-12_17h16.34.728,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,3,1,3.247,1,0,28,28,28,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Vehicle.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,3,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/sock01a.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1]",,,,,,,,,,,,,6,2021-04-12_17h16.34.728,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,4,1,1.514,1,0,29,29,29,1,stimuli/m1.jpg,stimuli/m4.jpg,1,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Stationary & school supply.png,4,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/pencilsharpener02a.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1]",,,,,,,,,,,,,6,2021-04-12_17h16.34.728,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,4,0,1.193,1,0,30,30,30,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,3,0,0,stimuli/m1.jpg,Gamestoy & entertainment,stimuli/objects/interlockingbuildingblock03b.jpg,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1]",,,,,,,,,,,,,6,2021-04-12_17h16.34.728,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,3,1,1.658,1,0,31,31,31,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,3,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/scotchtape.jpg,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1]",,,,,,,,,,,,,6,2021-04-12_17h16.34.728,premceCat2_ses-01_part-01_label-phase1,2020.2.9,MacIntel,60,,,,,1,0,1.723,1,0,32,32,32,1,stimuli/m4.jpg,stimuli/m1.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,2,0,0,stimuli/m1.jpg,Vehicle,stimuli/objects/mailtruck.jpg,,,,,,,,,,,,,,,,,,,,,,,
